step,total_steps,loss,kl_loss,policy_ratio,reward_avg,format_reward_avg,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg,eval_acc
1,500,0.000000,0.000000,1.000000,0.250000,0.125000,45.312824,1007.500000,0.000000,0.999859,0.410934,50.8
2,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.226388,1024.000000,0.000000,0.000000,0.467455,
3,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.976821,514.000000,0.000000,0.000000,0.435267,
4,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.928891,435.250000,0.000000,0.000000,0.367822,
5,500,0.000000,0.000000,1.000000,1.500000,0.750000,46.884664,790.625000,0.000000,0.999892,0.356546,
6,500,0.000000,0.000000,1.000000,1.500000,0.750000,47.069575,971.750000,0.000000,0.999892,0.278760,
7,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.502654,1024.000000,0.000000,0.000000,0.347379,
8,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.557472,520.500000,0.000000,0.000000,0.278998,
9,500,0.000000,0.000000,1.000000,0.000000,0.000000,44.400341,1024.000000,0.000000,0.000000,0.641633,
10,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.925363,1024.000000,0.000000,0.000000,0.350296,
11,500,0.000000,0.000000,1.000000,1.500000,0.750000,47.466571,721.000000,0.000000,0.999892,0.260533,
12,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.627168,1024.000000,0.000000,0.000000,0.313803,
13,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.739103,549.375000,0.000000,0.000000,0.424545,
14,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.582270,860.125000,0.000000,0.000000,0.317123,
15,500,0.000000,0.000000,1.000000,1.750000,0.875000,47.905800,751.000000,0.000000,0.999859,0.296706,
16,500,0.000000,0.000000,1.000000,1.750000,0.875000,47.601976,768.000000,0.000000,0.999859,0.404388,
17,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.558957,1024.000000,0.000000,0.000000,0.347975,
18,500,0.000000,0.000000,1.000000,2.000000,1.000000,46.925345,907.875000,0.000000,0.000000,0.385171,
19,500,0.000000,0.000000,1.000000,1.500000,0.750000,46.703237,886.750000,0.000000,0.999892,0.373794,
20,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.962495,1024.000000,0.000000,0.000000,0.493966,
21,500,0.000000,0.000000,1.000000,1.750000,0.875000,47.236630,862.125000,0.000000,0.999859,0.329289,
22,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.151661,1024.000000,0.000000,0.000000,0.521430,
23,500,0.000000,0.000000,1.000000,0.250000,0.125000,46.779815,1024.000000,0.000000,0.999859,0.502023,
24,500,0.000000,0.000000,1.000000,0.500000,0.250000,47.274367,1024.000000,0.000000,0.999892,0.459289,
25,500,0.000000,0.000000,1.000000,1.750000,0.875000,47.066398,967.625000,0.000000,0.999859,0.232396,
26,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.334985,595.125000,0.000000,0.000000,0.432031,
27,500,0.000000,0.000000,1.000000,1.750000,0.875000,47.855075,836.250000,0.000000,0.999859,0.393613,
28,500,0.000000,0.000000,1.000000,1.750000,0.875000,48.263321,588.875000,0.000000,0.999859,0.396651,
29,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.793495,1024.000000,0.000000,0.000000,0.660649,
30,500,0.000000,0.000000,1.000000,1.750000,0.875000,47.154841,919.750000,0.000000,0.999859,0.271683,
31,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.772549,470.000000,0.000000,0.000000,0.357493,
32,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.625737,608.625000,0.000000,0.000000,0.325365,
33,500,0.000000,0.000000,1.000000,2.000000,1.000000,47.558642,790.500000,0.000000,0.000000,0.334830,
34,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.575808,554.250000,0.000000,0.000000,0.393382,
35,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.709115,509.625000,0.000000,0.000000,0.331609,
36,500,0.000000,0.000000,1.000000,1.000000,0.500000,47.660143,939.500000,0.000000,0.999906,0.535016,
37,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.157948,393.000000,0.000000,0.000000,0.368084,
38,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.107103,272.500000,0.000000,0.000000,0.383067,
39,500,0.000000,0.000000,1.000000,0.000000,0.000000,47.096161,920.125000,0.000000,0.000000,0.485614,
40,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.271016,556.875000,0.000000,0.000000,0.282520,
41,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.061334,721.500000,0.000000,0.000000,0.446708,
42,500,0.000000,0.000000,1.000000,1.500000,0.750000,48.205608,736.250000,0.000000,0.999892,0.426763,
43,500,0.000000,0.000000,1.000000,1.750000,0.875000,47.560513,846.500000,0.000000,0.999859,0.448239,
44,500,0.000000,0.000000,1.000000,0.500000,0.250000,47.257037,858.875000,0.000000,0.999892,0.494163,
45,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.408701,320.000000,0.000000,0.000000,0.343385,
46,500,0.000000,0.000000,1.000000,1.750000,0.875000,48.762139,328.875000,0.000000,0.999859,0.359199,
47,500,0.000000,0.000000,1.000000,1.000000,0.500000,47.473671,821.000000,0.000000,0.999906,0.398151,
48,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.270051,493.250000,0.000000,0.000000,0.259187,
49,500,0.000000,0.000000,1.000000,0.750000,0.375000,47.146027,978.375000,0.000000,0.999903,0.582653,
50,500,0.000000,0.000000,1.000000,0.750000,0.375000,47.089977,961.250000,0.000000,0.999903,0.573953,53.6
51,500,0.000000,0.000000,1.000000,2.000000,1.000000,49.031490,550.000000,0.000000,0.000000,0.373557,
52,500,0.000000,0.000000,1.000000,0.500000,0.250000,44.403780,1010.500000,0.000000,0.999892,0.610313,
53,500,0.000000,0.000000,1.000000,1.750000,0.875000,48.969740,455.625000,0.000000,0.999859,0.549403,
54,500,0.000000,0.000000,1.000000,2.000000,1.000000,48.656535,453.250000,0.000000,0.000000,0.411536,
55,500,0.000000,0.000000,1.000000,0.750000,0.375000,48.115140,635.875000,0.000000,0.999903,0.473641,
56,500,0.000000,0.000000,1.000000,0.000000,0.000000,49.438075,368.000000,0.000000,0.000000,0.505264,
