step,total_steps,loss,kl_loss,policy_ratio,reward_avg,format_reward_avg,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg,eval_acc
1,500,0.000000,0.000000,1.000000,0.150000,0.250000,45.084203,1007.500000,0.000000,0.999741,0.410934,50.8
2,500,0.000000,0.000000,1.000000,0.000000,0.000000,45.998659,1024.000000,0.000000,0.000000,0.585458,
3,500,0.000000,0.000000,1.000000,1.100000,1.000000,47.565216,481.750000,0.000000,0.000000,0.430739,
4,500,0.000000,0.000000,1.000000,0.937500,0.625000,48.116073,650.000000,0.000000,0.999738,0.386341,
5,500,0.000000,0.000000,1.000000,0.562500,0.625000,46.666613,824.375000,0.000000,0.999826,0.406996,
6,500,0.000000,0.000000,1.000000,0.412500,0.375000,47.076258,924.000000,0.000000,0.999824,0.325809,
7,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.205511,1024.000000,0.000000,0.000000,0.425503,
8,500,0.000000,0.000000,1.000000,1.100000,1.000000,48.645962,376.500000,0.000000,0.000000,0.281286,
9,500,0.000000,0.000000,1.000000,0.000000,0.000000,44.312710,1024.000000,0.000000,0.000000,0.700081,
10,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.398539,1024.000000,0.000000,0.000000,0.381672,
11,500,0.000000,0.000000,1.000000,1.100000,1.000000,48.144035,510.875000,0.000000,0.000000,0.272041,
12,500,0.000000,0.000000,1.000000,0.012500,0.125000,46.775572,1018.500000,0.000000,0.997180,0.304188,
13,500,0.000000,0.000000,1.000000,0.100000,1.000000,48.155165,411.375000,0.000000,0.000000,0.415043,
14,500,0.000000,0.000000,1.000000,1.100000,1.000000,48.476433,544.500000,0.000000,0.000000,0.345306,
15,500,0.000000,0.000000,1.000000,0.975000,1.000000,49.331192,425.250000,0.000000,0.999717,0.318522,
16,500,0.000000,0.000000,1.000000,0.975000,1.000000,47.656807,673.875000,0.000000,0.999717,0.420083,
17,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.133254,1024.000000,0.000000,0.000000,0.353611,
18,500,0.000000,0.000000,1.000000,1.100000,1.000000,47.243028,819.125000,0.000000,0.000000,0.387726,
19,500,0.000000,0.000000,1.000000,1.100000,1.000000,47.565712,809.250000,0.000000,0.000000,0.434753,
20,500,0.000000,0.000000,1.000000,0.137500,0.125000,46.989586,1022.125000,0.000000,0.999743,0.512080,
21,500,0.000000,0.000000,1.000000,1.100000,1.000000,48.370428,660.375000,0.000000,0.000000,0.273681,
22,500,0.000000,0.000000,1.000000,0.525000,0.250000,47.124116,1024.000000,0.000000,0.999822,0.415803,
23,500,0.000000,0.000000,1.000000,0.287500,0.375000,47.305368,998.750000,0.000000,0.999801,0.491775,
24,500,0.000000,0.000000,1.000000,0.262500,0.125000,46.917878,1008.625000,0.000000,0.999795,0.457657,
25,500,0.000000,0.000000,1.000000,0.962500,0.875000,46.935515,947.250000,0.000000,0.999743,0.200653,
26,500,0.000000,0.000000,1.000000,0.962500,0.875000,48.161920,586.500000,0.000000,0.999743,0.464096,
27,500,0.000000,0.000000,1.000000,1.100000,1.000000,47.851675,778.000000,0.000000,0.000000,0.378803,
28,500,0.000000,0.000000,1.000000,1.100000,1.000000,48.657939,604.500000,0.000000,0.000000,0.401001,
29,500,0.000000,0.000000,1.000000,0.000000,0.000000,46.789910,1024.000000,0.000000,0.000000,0.712344,
30,500,0.000002,0.000000,1.000000,1.087500,0.875000,47.596741,812.125000,-0.000002,0.997179,0.286352,
31,500,0.000000,0.000000,1.000000,1.100000,1.000000,48.971695,539.000000,0.000000,0.000000,0.382930,
32,500,0.000000,0.000000,1.000000,1.100000,1.000000,49.099472,508.625000,0.000000,0.000000,0.295518,
33,500,0.000000,0.000000,1.000000,0.975000,1.000000,47.524176,820.125000,0.000000,0.999717,0.258977,
34,500,0.000000,0.000000,1.000000,1.100000,1.000000,48.767439,497.750000,0.000000,0.000000,0.346021,
35,500,0.000000,0.000000,1.000000,1.100000,1.000000,48.146396,671.375000,0.000000,0.000000,0.380556,
36,500,0.000000,0.000000,1.000000,0.537500,0.375000,46.918778,1009.500000,0.000000,0.999826,0.537493,
37,500,0.000000,0.000000,1.000000,1.100000,1.000000,48.956902,354.875000,0.000000,0.000000,0.307244,
38,500,0.000000,0.000000,1.000000,1.100000,1.000000,48.948136,203.625000,0.000000,0.000000,0.378893,
39,500,0.000000,0.000000,1.000000,0.037500,0.375000,46.778475,1004.375000,0.000000,0.998071,0.520294,
40,500,0.000000,0.000000,1.000000,1.100000,1.000000,48.771227,532.375000,0.000000,0.000000,0.264329,
41,500,0.000000,0.000000,1.000000,1.100000,1.000000,48.161166,580.375000,0.000000,0.000000,0.371184,
42,500,0.000000,0.000000,1.000000,0.837500,0.875000,47.986170,649.625000,0.000000,0.999795,0.388790,
43,500,0.000000,0.000000,1.000000,1.100000,1.000000,47.191593,872.750000,0.000000,0.000000,0.406236,
44,500,0.000000,0.000000,1.000000,0.462500,0.875000,48.033607,691.875000,0.000000,0.999811,0.370727,
45,500,0.000000,0.000000,1.000000,1.100000,1.000000,49.016449,292.250000,0.000000,0.000000,0.351537,
46,500,0.000000,0.000000,1.000000,1.100000,1.000000,48.623918,401.875000,0.000000,0.000000,0.306800,
47,500,0.000000,0.000000,1.000000,0.550000,0.500000,46.946076,917.500000,0.000000,0.999830,0.373788,
48,500,0.000000,0.000000,1.000000,1.100000,1.000000,48.616506,531.750000,0.000000,0.000000,0.250373,
49,500,0.000000,0.000000,1.000000,0.537500,0.375000,46.817419,950.375000,0.000000,0.999826,0.466788,
50,500,0.000000,0.000000,1.000000,0.825000,0.750000,47.506680,817.125000,0.000000,0.999804,0.524017,55.6
51,500,0.000000,0.000000,1.000000,1.100000,1.000000,48.512607,486.500000,0.000000,0.000000,0.339420,
52,500,0.000000,0.000000,1.000000,0.125000,0.000000,44.083067,1024.000000,0.000000,0.999717,0.537826,
53,500,0.000000,0.000000,1.000000,1.100000,1.000000,49.366712,431.500000,0.000000,0.000000,0.461181,
54,500,0.000000,0.000000,1.000000,0.975000,1.000000,48.160882,538.875000,0.000000,0.999717,0.257577,
55,500,0.000000,0.000000,1.000000,0.587500,0.875000,47.865622,732.750000,0.000000,0.999809,0.400515,
56,500,0.000000,0.000000,1.000000,0.100000,1.000000,49.395305,504.500000,0.000000,0.000000,0.445612,
57,500,0.000000,0.000000,1.000000,0.837500,0.875000,48.156414,485.625000,0.000000,0.999795,0.559100,
58,500,0.000000,0.000000,1.000000,0.550000,0.500000,47.153251,941.125000,0.000000,0.999830,0.614958,
59,500,0.000000,0.000000,1.000000,0.937500,0.625000,47.498687,871.500000,0.000000,0.999738,0.463016,
60,500,0.000000,0.000000,1.000000,0.687500,0.625000,46.888909,929.000000,0.000000,0.999824,0.336261,
